CustomerKey,Gender,YearlyIncome,MaritalStatus,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,SumProductCost,SumUnitPrice,OrderCount
18120,F,60000.00,M,2,1,High School,Professional,1091.8563,1725.98,2
18127,M,130000.00,M,2,4,Partial College,Professional,4100.0254,6982.0725,8
18134,F,120000.00,M,3,4,High School,Professional,3366.4993,5732.4675,6
18145,M,80000.00,M,5,0,Bachelors,Management,46.7128,71.97,2
18152,M,90000.00,S,5,0,Partial College,Professional,28.7868,76.97,2
18159,F,100000.00,M,3,4,High School,Professional,8.2205,21.98,1
18170,M,90000.00,M,4,1,High School,Professional,14.9526,39.98,2
18177,M,130000.00,M,4,5,High School,Management,4147.107,7043.5625,9
18184,M,90000.00,M,5,0,Partial High School,Skilled Manual,53.4449,89.97,3
18195,M,70000.00,M,0,0,Bachelors,Professional,38.8918,94.47,3
18202,F,100000.00,M,0,5,High School,Management,2479.5121,4143.26,2
18209,F,110000.00,S,0,5,High School,Management,3739.3284,6056.61,3
18220,M,110000.00,M,0,5,Partial High School,Professional,3726.2421,6021.62,2
18227,F,60000.00,M,1,0,Partial College,Skilled Manual,1093.3486,1729.97,3
18234,F,60000.00,M,1,0,Bachelors,Professional,1124.0823,1754.98,2
18245,F,60000.00,S,2,2,Bachelors,Professional,3726.2421,6021.62,2
18252,M,80000.00,M,5,5,Graduate Degree,Management,3726.2421,6021.62,2
18259,F,70000.00,S,0,0,Bachelors,Professional,15.1428,30.97,2
18270,F,70000.00,S,0,0,Bachelors,Professional,38.8918,94.47,3
18277,M,60000.00,M,1,0,Bachelors,Professional,3744.557,6070.59,5
18284,M,100000.00,S,0,0,Bachelors,Professional,3729.2154,6029.57,3
18295,F,90000.00,M,2,0,Bachelors,Professional,53.957,144.27,3
18302,M,90000.00,S,2,0,Bachelors,Management,3729.2154,6029.57,3
18309,F,70000.00,S,1,0,Partial College,Skilled Manual,3752.037,6090.59,5
18320,M,30000.00,M,0,0,Partial High School,Clerical,103.2694,223.19,10
18327,M,30000.00,S,0,0,Partial High School,Clerical,5.2286,13.98,2
18334,M,30000.00,M,2,0,Partial College,Clerical,2884.374,4698.76,2
18345,F,40000.00,M,0,0,High School,Skilled Manual,43.1858,115.47,3
18352,M,80000.00,M,0,0,Bachelors,Management,1266.9376,2334.98,3
18359,F,60000.00,S,0,0,Partial College,Skilled Manual,25.6153,68.49,2
18370,M,60000.00,M,1,1,Graduate Degree,Skilled Manual,1082.51,1700.99,1
18377,F,70000.00,S,3,2,Partial College,Professional,1293.6621,2394.97,4
18384,F,90000.00,S,0,0,Partial College,Professional,38.7016,103.48,3
18395,M,100000.00,M,1,2,Partial College,Professional,1286.1858,2374.98,2
18402,F,80000.00,M,5,4,Partial College,Professional,1.8663,4.99,1
18409,F,60000.00,M,2,0,High School,Professional,1092.7128,1728.27,3
18420,F,160000.00,M,1,3,Partial College,Professional,1296.8613,2414.99,2
18427,M,70000.00,M,3,0,Graduate Degree,Management,1266.7432,2334.46,4
18434,M,80000.00,M,4,0,Graduate Degree,Management,1.8663,4.99,1
18438,F,60000.00,M,3,0,Graduate Degree,Management,1089.4323,1709.98,2
18445,M,20000.00,M,4,0,High School,Skilled Manual,8.0373,21.49,1
18452,M,30000.00,M,3,0,Partial College,Clerical,2925.9463,4752.75,3
18459,F,30000.00,S,0,0,Partial College,Skilled Manual,361.9645,588.96,4
18463,F,30000.00,M,3,0,High School,Skilled Manual,2894.5768,4726.04,4
18470,F,80000.00,S,2,0,Partial College,Skilled Manual,3726.2421,6021.62,2
18477,F,60000.00,S,0,0,Partial College,Skilled Manual,8.7886,13.98,2
18030,M,20000.00,S,0,0,High School,Manual,24.2989,64.97,3
18032,F,20000.00,M,0,0,High School,Manual,73.8205,144.45,5
18047,F,30000.00,M,0,0,Partial College,Clerical,1701.2455,2736.4175,3
18049,M,40000.00,S,4,2,High School,Skilled Manual,1134.0886,1785.97,3
18062,M,70000.00,M,4,0,Bachelors,Management,47.2809,63.97,3
18064,F,40000.00,M,4,0,High School,Professional,43.4386,58.98,2
18066,M,70000.00,S,5,0,Bachelors,Management,1270.6702,2344.96,4
18079,F,60000.00,M,5,0,Bachelors,Management,1082.51,1700.99,1
18081,F,40000.00,M,2,1,High School,Professional,19.4368,51.97,2
18096,F,60000.00,M,2,1,Bachelors,Management,1095.5963,1735.98,2
18098,M,60000.00,M,2,1,High School,Professional,1124.0823,1754.98,2
18113,F,70000.00,M,4,2,Partial College,Professional,1312.3323,2391.96,3
18115,M,70000.00,M,2,1,Partial High School,Skilled Manual,8.7886,13.98,2
18130,F,130000.00,S,3,4,Partial College,Professional,3367.9685,5743.9675,6
18132,F,110000.00,M,2,4,Partial College,Professional,1684.3684,3034.0682,4
18147,F,170000.00,M,3,4,Bachelors,Management,4080.7719,6930.5925,6
18149,F,100000.00,M,2,3,Bachelors,Management,18.7861,50.23,4
18164,F,120000.00,M,3,5,Bachelors,Management,1870.7168,3330.4175,3
18166,M,150000.00,M,2,5,Graduate Degree,Management,4303.2428,7200.37,7
18179,F,80000.00,S,5,1,High School,Management,1.8663,4.99,1
18181,M,150000.00,M,4,5,High School,Management,92.8903,185.92,7
18183,F,90000.00,M,4,1,Partial High School,Skilled Manual,1879.8446,3343.3575,5
18196,M,100000.00,M,0,5,High School,Management,2471.4765,4133.24,4
18198,M,120000.00,S,5,5,Partial High School,Professional,2475.2202,4143.25,3
18213,F,100000.00,S,0,5,High School,Management,3744.557,6070.59,5
18215,F,90000.00,S,0,0,Bachelors,Professional,60.0228,150.97,3
18230,F,60000.00,M,5,4,Bachelors,Professional,1.8663,4.99,1
18232,F,80000.00,M,1,0,Partial College,Skilled Manual,1280.0239,2369.97,4
18247,F,70000.00,M,5,5,Bachelors,Professional,56.7151,84.96,3
18249,F,120000.00,M,1,0,Graduate Degree,Management,3738.393,6044.59,5
18264,M,60000.00,S,4,4,Bachelors,Professional,26.1689,69.97,3
18266,F,60000.00,S,4,4,Bachelors,Professional,27.0254,72.26,4
18281,F,60000.00,S,1,0,Partial College,Skilled Manual,3748.4877,6081.10,4
18283,F,100000.00,S,0,0,Bachelors,Professional,76.7237,128.94,5
18296,F,70000.00,S,0,0,Bachelors,Professional,3762.1724,6117.69,6
18298,M,70000.00,S,5,4,Bachelors,Professional,9.077,24.27,2
18300,F,60000.00,M,1,0,Partial College,Skilled Manual,24.2652,64.88,3
18313,F,30000.00,S,0,0,High School,Skilled Manual,2.7228,7.28,2
18315,F,30000.00,M,0,0,High School,Skilled Manual,2.7228,7.28,2
18330,F,60000.00,S,2,0,Graduate Degree,Management,54.6549,88.97,3
18332,M,30000.00,M,2,0,Partial College,Clerical,2925.9463,4752.75,3
18347,F,30000.00,S,0,0,Partial College,Skilled Manual,14.9526,39.98,2
18349,M,30000.00,S,0,0,Partial College,Skilled Manual,14.9526,39.98,2
18364,M,40000.00,M,0,0,Partial College,Skilled Manual,46.7463,124.99,2
18366,F,60000.00,M,0,0,Partial College,Skilled Manual,1130.1616,1775.47,3
18381,F,90000.00,S,2,1,Partial College,Professional,1280.3814,2359.46,4
18383,F,90000.00,S,0,0,Partial College,Professional,8.7886,13.98,2
18398,M,110000.00,S,1,3,Bachelors,Management,1280.7623,2350.96,3
18400,M,120000.00,S,1,3,High School,Professional,1299.2647,2409.95,6
18413,M,80000.00,M,3,2,Partial College,Professional,1315.4123,2395.96,3
18415,F,70000.00,M,4,0,Graduate Degree,Management,1311.8176,2454.98,4
18417,M,110000.00,M,5,3,Partial College,Professional,14.9526,39.98,2
18430,F,40000.00,M,3,0,Partial College,Professional,1130.1616,1775.47,3
18432,F,70000.00,M,5,0,Graduate Degree,Management,1280.7623,2350.96,3
18447,F,10000.00,M,2,1,Partial High School,Clerical,8.0373,21.49,1
18449,M,40000.00,M,0,0,Partial High School,Clerical,41.3117,100.94,5
18464,F,30000.00,M,3,0,High School,Skilled Manual,2884.374,4698.76,2
18033,F,30000.00,S,0,0,Partial College,Clerical,9.3463,24.99,1
18035,F,20000.00,S,0,0,Partial High School,Manual,23.9249,63.97,3
18042,M,20000.00,S,0,0,Partial High School,Manual,11.2126,29.98,2
18044,F,20000.00,S,0,0,Partial High School,Manual,12.0691,32.27,3
18067,M,70000.00,M,5,0,Bachelors,Management,1283.9508,2380.47,3
18069,M,70000.00,M,5,0,Bachelors,Management,1.8663,4.99,1
18076,M,70000.00,M,2,1,Partial College,Professional,25.4059,67.93,3
18078,M,70000.00,M,2,1,Partial College,Professional,118.3037,200.94,5
18101,F,70000.00,M,4,2,Partial College,Professional,24.1119,64.47,3
18103,F,60000.00,S,2,1,High School,Professional,1095.5963,1735.98,2
18108,M,60000.00,M,2,1,Partial College,Professional,1095.5963,1735.98,2
18110,M,60000.00,M,2,1,Partial College,Professional,4.8396,12.94,2
18112,F,70000.00,M,4,2,Partial College,Professional,24.1119,64.47,3
18135,M,120000.00,M,3,4,Partial High School,Professional,4081.6903,6921.5825,6
18137,M,90000.00,M,2,1,High School,Professional,1691.2907,3043.0582,5
18142,F,80000.00,S,3,1,Partial College,Professional,9.077,24.27,2
18144,F,80000.00,M,5,0,Bachelors,Management,11.9568,31.97,2
18167,M,90000.00,M,4,1,High School,Professional,1922.8473,3405.4075,4
18169,F,80000.00,S,5,2,High School,Professional,2.7228,7.28,2
18176,M,110000.00,M,4,5,Partial College,Management,1876.3194,3345.3975,5
18178,F,160000.00,M,2,5,Partial College,Management,19.2461,51.46,3
18201,F,100000.00,M,0,5,High School,Management,2480.6358,4157.73,5
18203,M,100000.00,S,0,5,High School,Management,2507.4462,4172.25,3
18210,F,130000.00,M,4,5,High School,Management,3738.393,6044.59,5
18212,M,90000.00,M,0,0,Bachelors,Professional,3729.2154,6029.57,3
18235,M,70000.00,M,5,4,Graduate Degree,Professional,14.9526,39.98,2
18237,F,80000.00,M,5,0,Graduate Degree,Professional,1264.5062,2318.96,4
18242,F,90000.00,M,1,0,Graduate Degree,Management,3763.6758,6121.71,5
18244,F,100000.00,M,1,0,Graduate Degree,Management,3726.2421,6021.62,2
18267,M,60000.00,M,3,2,Bachelors,Professional,24.3026,64.98,2
18269,F,60000.00,S,3,2,Bachelors,Professional,3760.4931,6113.20,5
18276,F,60000.00,S,1,0,Bachelors,Professional,3777.8207,6106.60,4
18278,M,60000.00,M,1,0,Partial College,Skilled Manual,80.8275,158.95,5
18301,F,90000.00,S,2,0,Bachelors,Management,3739.3284,6056.61,3
18303,M,90000.00,S,2,0,Bachelors,Management,3729.6044,6030.61,3
18310,M,10000.00,M,2,1,High School,Skilled Manual,8.0373,21.49,1
18312,M,40000.00,S,0,0,High School,Skilled Manual,5.6961,15.23,3
18335,M,40000.00,M,2,0,Bachelors,Management,3731.4707,6035.60,4
18337,F,50000.00,S,2,0,Graduate Degree,Management,3726.2421,6021.62,2
18342,F,40000.00,S,0,0,Partial College,Skilled Manual,14.9526,39.98,2
18344,M,60000.00,S,0,0,Partial College,Skilled Manual,1127.9246,1759.97,3
18346,F,30000.00,S,0,0,Partial College,Skilled Manual,8.7886,13.98,2
18369,F,60000.00,M,1,1,Graduate Degree,Skilled Manual,1091.8563,1725.98,2
18371,F,60000.00,M,1,1,Graduate Degree,Skilled Manual,1124.0823,1754.98,2
18376,F,70000.00,M,3,2,Partial College,Professional,1280.0239,2369.97,4
18378,M,80000.00,M,3,0,Partial College,Professional,1310.4995,2439.99,2
18401,M,70000.00,S,5,4,Partial College,Professional,1251.9813,2294.99,1
18403,F,80000.00,S,5,4,Partial College,Professional,1264.5062,2318.96,4
18410,M,60000.00,M,2,0,High School,Professional,43.4386,58.98,2
18412,F,70000.00,S,4,3,High School,Professional,1265.6195,2319.99,1
18435,F,70000.00,S,5,0,Graduate Degree,Management,1286.9263,2376.96,3
18437,F,70000.00,M,5,0,Graduate Degree,Management,1280.5758,2359.98,3
18444,F,20000.00,S,4,0,High School,Skilled Manual,9.5296,25.48,2
18446,M,20000.00,M,4,0,High School,Skilled Manual,8.0373,21.49,1
18469,F,80000.00,S,2,0,Partial College,Skilled Manual,3726.2421,6021.62,2
18471,F,30000.00,S,0,0,Partial College,Skilled Manual,343.6496,539.99,1
18037,M,20000.00,S,0,0,Partial High School,Manual,18.5056,49.48,2
18038,F,30000.00,S,0,0,Partial College,Clerical,1508.7426,2435.0782,3
18041,F,20000.00,S,0,0,Partial High School,Manual,12.0691,32.27,3
18055,M,50000.00,S,0,0,Partial College,Skilled Manual,73.6185,143.91,7
18056,F,60000.00,S,0,0,Graduate Degree,Professional,1091.8563,1725.98,2
18073,M,60000.00,M,4,0,Bachelors,Management,8.7886,13.98,2
18074,F,70000.00,S,2,1,Partial College,Professional,43.4386,58.98,2
18088,M,60000.00,M,2,1,Bachelors,Management,1095.5963,1735.98,2
18091,M,40000.00,S,2,1,High School,Professional,1121.0023,1750.98,2
18105,F,60000.00,M,2,1,Partial College,Professional,14.9526,39.98,2
18106,M,60000.00,M,2,1,Partial College,Professional,1.8663,4.99,1
18123,F,70000.00,M,4,3,Partial College,Professional,1.8663,4.99,1
18124,M,130000.00,M,2,3,Bachelors,Management,21.3068,56.97,2
18138,M,100000.00,M,2,3,High School,Professional,49.7928,75.97,2
18141,F,130000.00,M,3,4,Partial College,Professional,4117.9609,6972.8625,8
18155,F,80000.00,M,4,2,Partial College,Professional,54.211,135.43,7
18156,F,80000.00,M,4,2,Partial College,Professional,30.7654,82.26,5
18173,M,130000.00,S,4,5,High School,Professional,4284.8614,7189.35,9
18174,F,90000.00,M,4,1,High School,Management,2.7228,7.28,2
18188,M,60000.00,M,0,0,Bachelors,Professional,3753.0131,6093.20,5
18191,F,80000.00,M,0,0,Bachelors,Professional,38.8918,94.47,3
18205,F,90000.00,M,0,0,Bachelors,Professional,3739.3284,6056.61,3
18206,M,100000.00,M,0,5,High School,Management,28.2291,65.96,3
18223,M,90000.00,M,5,5,Partial College,Professional,14.9526,39.98,2
18224,F,90000.00,S,0,0,Partial College,Professional,1293.4677,2394.45,5
18238,M,90000.00,M,1,0,Graduate Degree,Management,3729.6044,6030.61,3
18241,M,90000.00,M,1,0,Graduate Degree,Management,3739.9268,6058.21,4
18255,F,60000.00,S,2,2,Bachelors,Professional,3743.2891,6067.20,5
18256,M,60000.00,M,3,3,Bachelors,Professional,37.0112,98.96,4
18273,F,90000.00,M,4,4,Bachelors,Professional,3776.9268,6104.21,4
18274,F,90000.00,M,4,4,Bachelors,Professional,15.1428,30.97,2
18288,F,70000.00,S,0,0,Bachelors,Professional,3753.0131,6093.20,5
18291,F,70000.00,S,0,0,Bachelors,Professional,15.1428,30.97,2
18305,M,40000.00,M,2,0,Bachelors,Management,81.4259,160.55,6
18306,F,70000.00,M,5,4,Partial College,Skilled Manual,32.826,87.77,3
18323,M,40000.00,S,0,0,High School,Skilled Manual,14.9526,39.98,2
18324,M,40000.00,S,0,0,High School,Skilled Manual,1095.5963,1735.98,2
18338,F,50000.00,S,2,0,Graduate Degree,Management,3786.1293,6124.58,6
18341,M,40000.00,S,0,0,Partial College,Skilled Manual,25.4059,67.93,3
18355,M,90000.00,M,4,4,Bachelors,Management,79.8114,150.95,4
18356,M,90000.00,M,4,4,Partial College,Skilled Manual,75.8624,149.91,4
18373,F,50000.00,M,1,1,Bachelors,Skilled Manual,1131.0046,1763.97,3
18374,M,100000.00,M,5,2,Partial College,Professional,4.8396,12.94,2
18388,F,150000.00,M,3,1,Bachelors,Management,1267.7941,2337.27,4
18391,F,80000.00,S,5,4,Partial College,Professional,41.3191,100.96,3
18392,F,80000.00,S,5,4,Partial College,Professional,1269.9109,2342.93,4
18405,F,110000.00,M,1,3,Bachelors,Management,1.8663,4.99,1
18406,M,130000.00,S,1,3,Bachelors,Management,1278.7095,2354.99,2
18423,M,80000.00,S,2,0,Partial High School,Skilled Manual,1.8663,4.99,1
18424,M,60000.00,S,2,0,High School,Professional,1.8663,4.99,1
18441,F,70000.00,M,5,0,Graduate Degree,Management,1283.9508,2380.47,3
18442,M,70000.00,S,5,0,Graduate Degree,Management,1258.4404,2312.26,4
18455,M,60000.00,M,0,0,Partial College,Skilled Manual,24.1119,64.47,3
18456,M,60000.00,S,0,0,Partial College,Skilled Manual,4.8396,12.94,2
18473,M,60000.00,M,0,0,Partial College,Skilled Manual,47.6028,127.28,3
18474,M,60000.00,M,0,0,Partial College,Skilled Manual,14.9526,39.98,2
18491,F,70000.00,S,2,0,High School,Professional,3739.3284,6056.61,3
18039,M,30000.00,M,0,0,Partial College,Clerical,1534.1486,2450.0782,3
18040,M,10000.00,M,0,0,Partial High School,Manual,72.5486,193.98,3
18054,M,40000.00,S,0,0,Bachelors,Professional,39.992,106.93,6
18057,M,60000.00,M,0,0,Graduate Degree,Professional,1082.51,1700.99,1
18071,F,60000.00,M,4,0,Bachelors,Management,25.6153,68.49,2
18072,F,60000.00,S,4,0,Bachelors,Management,1.8663,4.99,1
18089,F,40000.00,M,2,1,High School,Professional,1095.5963,1735.98,2
18090,M,40000.00,M,2,1,High School,Professional,24.2764,64.91,4
18104,F,60000.00,M,2,1,Partial College,Professional,8.7886,13.98,2
18107,F,60000.00,M,2,1,Partial College,Professional,8.7886,13.98,2
18121,F,60000.00,M,2,1,High School,Professional,1117.0976,1793.47,4
18122,M,70000.00,S,4,3,Partial College,Professional,1310.4995,2439.99,2
18139,F,120000.00,M,3,4,Partial High School,Professional,3379.1806,5764.4275,9
18140,M,130000.00,M,3,4,Partial College,Professional,3367.0111,5741.4075,8
18154,M,100000.00,S,2,3,Bachelors,Management,24.8487,66.44,5
18157,F,90000.00,S,3,2,Partial College,Professional,1904.3673,3399.4075,5
18158,M,90000.00,M,4,2,Partial College,Professional,4061.5253,6869.6125,4
18171,M,110000.00,M,4,5,Partial College,Professional,1870.1554,3319.3975,5
18172,M,130000.00,M,4,5,High School,Professional,28.8991,77.27,4
18189,F,70000.00,M,0,0,Bachelors,Professional,2465.8739,4118.26,2
18190,M,70000.00,M,0,0,Bachelors,Professional,15.1428,30.97,2
18207,M,100000.00,M,0,5,High School,Management,3773.043,6089.59,5
18208,F,90000.00,M,0,0,Bachelors,Professional,3731.4707,6035.60,4
18221,M,160000.00,M,5,5,Partial High School,Management,20.7454,45.95,4
18222,F,130000.00,M,0,5,Bachelors,Management,3738.393,6044.59,5
18239,F,90000.00,M,1,0,Graduate Degree,Management,3729.6044,6030.61,3
18240,M,90000.00,M,1,0,Graduate Degree,Management,3779.9653,6098.58,6
18257,F,70000.00,M,5,5,Bachelors,Professional,66.7214,115.95,4
18258,F,70000.00,S,0,0,Bachelors,Professional,20.7454,45.95,4
18271,M,70000.00,M,0,0,Bachelors,Professional,69.8014,119.95,4
18272,F,90000.00,M,3,3,Bachelors,Professional,3739.3284,6056.61,3
18275,F,70000.00,S,1,0,Partial College,Skilled Manual,3726.2421,6021.62,2
18289,F,80000.00,M,5,5,Bachelors,Professional,38.8918,94.47,3
18290,F,70000.00,S,0,0,Bachelors,Professional,56.7151,84.96,3
18307,F,70000.00,S,1,0,Partial College,Skilled Manual,3726.2421,6021.62,2
18308,F,70000.00,S,1,0,Partial College,Skilled Manual,3732.3272,6037.89,5
18322,M,30000.00,S,0,0,Partial High School,Clerical,59.2451,148.89,9
18325,F,40000.00,M,2,0,Bachelors,Management,40.7101,108.85,6
18339,F,40000.00,S,0,0,Partial College,Skilled Manual,8.7886,13.98,2
18340,F,40000.00,S,0,0,Partial College,Skilled Manual,14.9526,39.98,2
18357,F,100000.00,M,2,0,Bachelors,Management,1257.5839,2309.97,3
18358,M,30000.00,M,0,0,Partial College,Skilled Manual,14.9526,39.98,2
18372,M,50000.00,M,1,1,Graduate Degree,Skilled Manual,1104.7556,1760.47,3
18375,F,150000.00,M,2,0,Bachelors,Management,1270.6702,2344.96,4
18389,M,80000.00,S,5,4,Partial College,Professional,1296.0856,2401.45,4
18390,M,80000.00,M,5,4,Partial College,Professional,72.8891,141.96,3
18407,F,60000.00,M,2,0,High School,Professional,23.6556,63.25,4
18408,M,60000.00,S,2,0,High School,Professional,4.8396,12.94,2
18422,F,170000.00,S,1,1,Bachelors,Management,1273.2881,2351.96,3
18425,M,60000.00,M,2,0,High School,Professional,1.8663,4.99,1
18439,F,60000.00,M,3,0,Graduate Degree,Management,1082.51,1700.99,1
18440,M,60000.00,M,3,0,Graduate Degree,Management,1130.1616,1775.47,3
18457,F,30000.00,M,3,0,Partial College,Clerical,2932.0479,4826.23,6
18458,M,30000.00,S,3,0,Partial College,Clerical,2897.4603,4733.75,3
18472,F,30000.00,S,0,0,High School,Skilled Manual,49.5179,79.47,3
18475,F,30000.00,S,0,0,High School,Skilled Manual,372.4178,616.91,5
18489,M,70000.00,M,2,0,High School,Skilled Manual,3748.4877,6081.10,4
18036,M,20000.00,S,0,0,Partial High School,Manual,9.3463,24.99,1
18043,F,20000.00,S,0,0,Partial High School,Manual,13.0826,34.98,2
18050,F,60000.00,M,1,0,Partial College,Skilled Manual,1121.0023,1750.98,2
18061,M,40000.00,M,4,0,High School,Professional,1.8663,4.99,1
18068,M,70000.00,M,5,0,Bachelors,Management,1310.4995,2439.99,2
18075,F,70000.00,S,2,1,Partial College,Professional,1293.6621,2394.97,4
18086,F,60000.00,S,2,1,Partial College,Professional,1094.6609,1723.96,4
18093,F,60000.00,S,2,1,Partial College,Professional,5.2286,13.98,2
18100,M,70000.00,M,4,2,Partial College,Professional,22.4326,59.98,2
18111,M,70000.00,M,4,2,Partial College,Professional,1.8663,4.99,1
18118,F,60000.00,M,2,1,High School,Professional,1121.0023,1750.98,2
18125,F,130000.00,M,2,3,Bachelors,Management,3366.2966,5739.4975,4
18136,M,130000.00,M,3,4,Partial College,Professional,4071.0516,6904.6025,5
18143,M,70000.00,S,5,1,High School,Professional,1712.3025,3063.0582,5
18150,M,80000.00,S,5,0,Partial College,Professional,28.7868,76.97,2
18161,F,90000.00,M,4,2,Partial College,Professional,2.7228,7.28,2
18168,M,130000.00,S,4,5,Partial College,Professional,4076.4431,6907.5525,6
18175,F,90000.00,M,4,1,High School,Management,1695.5884,3064.0682,4
18186,F,130000.00,M,5,5,Partial High School,Professional,52.1507,139.44,6
18193,M,90000.00,S,0,0,Bachelors,Professional,2476.0767,4145.54,4
18200,M,90000.00,M,0,0,Bachelors,Professional,2477.943,4150.53,5
18204,F,120000.00,M,0,5,Partial High School,Professional,2471.4765,4133.24,4
18211,F,130000.00,M,4,5,High School,Management,28.2291,65.96,3
18218,M,110000.00,M,0,5,High School,Management,3726.2421,6021.62,2
18225,F,90000.00,S,0,0,Partial College,Professional,1272.5402,2349.96,5
